year,latitude,longitude,estimated_woodchuck_population,VOLCF_AC_UNADJ,wood_chucked_per_woodchuck_lbs,total_wood_chucked_lbs
2042,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2043,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2044,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2045,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2046,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2047,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2048,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2049,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2050,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2051,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2052,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2053,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2054,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2055,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2056,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2057,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2058,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2059,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2060,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2061,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2062,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2063,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2064,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2065,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2066,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2067,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2068,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2069,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2070,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2071,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2072,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2073,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2074,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2075,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2076,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2077,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2078,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2079,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2080,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2081,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2082,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2083,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2084,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2085,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2086,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2087,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2088,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2089,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2090,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2091,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2092,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2093,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2094,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2095,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2096,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2097,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2098,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2099,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2100,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2101,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2102,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2103,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2104,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2105,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2106,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2107,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2108,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2109,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2110,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2111,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2112,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2113,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2114,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2115,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2116,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2117,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2118,40.2,-80.3,1547.29006280389,612.27208940625,7.472344997680155,11561.88516075286
2018,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2019,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2020,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2021,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2022,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2023,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2024,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2025,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2026,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2027,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2028,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2029,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2030,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2031,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2032,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2033,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2034,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2035,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2036,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2037,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2038,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2039,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2040,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2041,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2042,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2043,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2044,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2045,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2046,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2047,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2048,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2049,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2050,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2051,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2052,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2053,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2054,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2055,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2056,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2057,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2058,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2059,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2060,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2061,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2062,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2063,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2064,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2065,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2066,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2067,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2068,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2069,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2070,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2071,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2072,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2073,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2074,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2075,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2076,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2077,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2078,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2079,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2080,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2081,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2082,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2083,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2084,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2085,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2086,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2087,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2088,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2089,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2090,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2091,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2092,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2093,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2094,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2095,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2096,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2097,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2098,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2099,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2100,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2101,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2102,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2103,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2104,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2105,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2106,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2107,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2108,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2109,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2110,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2111,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2112,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2113,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2114,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2115,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2116,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2117,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2118,41.2,-79.7,114.64737135332253,260.4586031125,3.052428512124246,349.9529051589782
2018,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2019,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2020,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2021,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2022,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2023,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2024,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2025,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2026,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2027,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2028,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2029,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2030,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2031,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2032,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2033,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2034,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2035,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2036,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2037,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2038,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2039,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2040,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2041,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2042,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2043,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2044,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2045,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2046,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2047,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2048,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2049,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2050,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2051,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2052,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2053,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2054,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2055,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2056,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2057,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2058,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2059,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2060,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2061,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2062,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2063,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2064,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2065,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2066,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2067,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2068,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2069,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2070,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2071,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2072,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2073,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2074,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2075,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2076,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2077,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2078,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2079,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2080,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2081,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2082,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2083,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2084,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2085,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2086,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2087,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2088,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2089,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2090,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2091,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2092,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2093,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2094,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2095,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2096,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2097,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2098,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2099,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2100,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2101,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2102,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2103,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2104,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2105,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2106,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2107,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2108,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2109,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2110,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2111,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2112,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2113,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2114,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2115,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2116,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2117,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2118,41.8,-78.0,192.7752025931929,1348.9423176125,16.727308246440867,3224.6102360464242
2018,41.6,-75.2,50.0,307.1079051625,3.6384947864521013,181.92473932260506
2019,41.6,-75.2,50.0,307.1079051625,3.6384947864521013,181.92473932260506
2020,41.6,-75.2,50.0,307.1079051625,3.6384947864521013,181.92473932260506
2021,41.6,-75.2,50.0,307.1079051625,3.6384947864521013,181.92473932260506
2022,41.6,-75.2,50.0,307.1079051625,3.6384947864521013,181.92473932260506
2023,41.6,-75.2,50.0,307.1079051625,3.6384947864521013,181.92473932260506
2024,41.6,-75.2,50.0,307.1079051625,3.6384947864521013,181.92473932260506
2025,41.6,-75.2,50.0,307.1079051625,3.6384947864521013,181.92473932260506
2026,41.6,-75.2,50.0,307.1079051625,3.6384947864521013,181.92473932260506
2027,41.6,-75.2,50.0,307.1079051625,3.6384947864521013,181.92473932260506
2028,41.6,-75.2,50.0,307.1079051625,3.6384947864521013,181.92473932260506
2029,41.6,-75.2,50.0,307.1079051625,3.6384947864521013,181.92473932260506
2030,41.6,-75.2,50.0,307.1079051625,3.6384947864521013,181.92473932260506
2031,41.6,-75.2,50.0,307.1079051625,3.6384947864521013,181.92473932260506
2032,41.6,-75.2,50.0,307.1079051625,3.6384947864521013,181.92473932260506
